古処誠二,1970-3-10,
古川薫,1925-6-5,
古川日出男,1966-7-11,
戸川幸夫,1912-4-15,2004-5-1
戸板康二,--,
胡桃沢耕史,1925-4-26,1994-3-22
五味康祐,1921-12-20,1980-4-1
後藤明生,1932-4-4,1999-8-2
光瀬龍,1928-3-18,1999-7-7
幸田文,1904-9-1,1990-10-31
幸田露伴,1867-8-22,
広津柳浪,1861-7-15,
広津和郎,1891-12-5,1968-9-21
江見水蔭,1869-9-17,
江戸川乱歩,1894-10-21,1965-7-28
江口渙,1887-7-20,1975-1-18
江上剛,1954-1-7,
江國香織,1964-3-21,
荒巻義雄,1933-4-12,
高井有一,1932-4-27,
高橋義夫,1945-5-25,
高橋源一郎,1951-1-1,
高橋克彦,1947-8-6,
高橋三千綱,1948-1-5,
高橋治,1929-5-23,
高橋和巳,1931-8-31,1971-5-3
高橋揆一郎,1928-4-10,2007-1-31
高樹のぶ子,1946-4-9,
高杉良,1939-1-25,
高千穂遙,1951-11-7,
高村薫,1953-2-6,
高木彬光,1920-9-25,1995-9-9
高野和明,1964-10-26,
高里椎奈,1976-12-27,
国枝史郎,1887-10-4,1943-4-8
国木田独歩,1871-8-30,
黒井千次,1932-5-28,
黒岩重吾,1924-2-25,2003-3-7
黒沼健,1902-5-1,1985-7-5
黒川博行,1949-3-4,
黒島伝治,1898-12-12,1943-10-17
今官一,1909-12-8,1983-3-1
今江祥智,1932-1-15,
今東光,1898-3-26,1977-9-19
今野敏,1955-9-27,
佐々木丸美,1949-1-23,2005-12-25
佐々木譲,1950-3-16,
佐々木敏,1942-7-31,
佐々木味津三,1896-3-18,1934-2-6
佐賀潜,1914-3-21,1970-8-31
佐江衆一,1934-1-19,
佐川光晴,1965-2-8,
佐多稲子,1904-6-1,1998-10-12
佐藤亜有子,1969-10-19,
佐藤愛子,1923-11-5,
佐藤雅美,1941-1-14,
佐藤賢一,1968-3-12,
佐藤正午,1955-8-25,
佐藤大輔,1964-4-3,
佐藤友哉,1980-12-7,
佐伯一麦,1959-7-21,
佐伯泰英,1942-2-14,
佐野洋,1928-5-22,
斎藤綾子,1958-4-7,
斎藤栄,1933-1-14,
斎藤純,1957-1-5,
斎藤緑雨,1868-1-24,
坂東眞砂子,1958-3-30,
堺屋太一,1935-7-13,
堺利彦,1871-1-15,1933-1-23
鷺沢萠,1968-6-20,2004-4-11
桜庭一樹,1971-7-26,
笹沢左保,1930-11-25,2002-10-22
笹本祐一,1963-2-18,
笹本稜平,1951-10-9,
三好京三,1931-3-27,2007-5-11
三好十郎,1902-4-21,1958-12-16
三好徹,1931-1-7,
三枝和子,1929-3-31,2003-4-24
三上於菟吉,1891-2-4,1944-2-7
三田誠広,1948-6-18,
三島霜川,1876-7-30,1934-3-7
三島由紀夫,1925-1-14,1970-11-25
三木卓,1935-5-13,
山浦弘靖,1938-1-28,
山岡荘八,1907-1-11,1978-9-30
山口洋子,1937-5-10,
山崎ナオコーラ,1978-9-15,
山崎洋子,1947-8-6,
山手樹一郎,1899-2-11,1978-3-16
山川方夫,1930-2-25,1965-2-20
山村正夫,1931-3-15,1999-11-19
山村美紗,1931-8-25,1996-9-5
山田詠美,1959-2-8,
山田真美,1960-2-27,
山田智彦,1936-3-23,2001-4-17
山田美妙,1868-8-25,
山田悠介,1981-6-8,
山本兼一,1956-7-23,
山本幸久,1966-5-31,
山本昌代,1960-8-18,
山本文緒,1962-11-13,
山本有三,1887-7-27,1974-1-11
司馬遼太郎,1923-8-7,1996-2-12
市川拓司,1962-10-7,
志賀貢,1935-6-10,
志水辰夫,1936-12-17,
志茂田景樹,1940-3-25,
獅子文六,1893-7-1,1969-12-13
寺内大吉,1921-10-6,2008-9-6
式貴士,1933-2-6,1991-2-18
雫井脩介,1968-11-14,
室井佑月,1970-2-27,
篠田節子,1955-10-23,
柴崎友香,1973-10-20,
柴田よしき,1959-10-14,
芝木好子,1914-5-7,1991-8-25
車谷長吉,1945-7-1,
朱川湊人,1963-1-7,
殊能将之,1964-1-19,
酒見賢一,1963-11-26,
宗田理,1928-5-8,
秋月達郎,1959-5-15,
住井すゑ,1902-1-7,1997-6-16
重松清,1963-3-6,
諸田玲子,1954-3-7,
勝目梓,1932-6-20,
小熊秀雄,1901-9-9,1940-11-20
小栗虫太郎,1901-3-14,1946-2-10
小栗風葉,1875-2-3,1926-1-15
小酒井不木,1890-10-8,1929-4-1
小沼丹,1918-9-9,1996-11-8
小杉健治,1947-3-20,
小杉天外,1865-11-7,
小川国夫,1927-12-21,2008-4-8
小川未明,1882-4-7,1961-5-11
小川洋子,1962-3-30,
小泉喜美子,1934-2-2,1985-11-7
小池昌代,1959-7-17,
小池真理子,1952-10-28,
小田実,1932-6-2,2007-7-30
小田嶽夫,1900-7-5,1979-6-2
小島信夫,1915-2-28,2006-10-26
小峰元,1921-3-24,1994-5-22
小野不由美,1960-12-24,
小嵐九八郎,1944-7-31,
小林久三,1935-11-15,2006-9-1
小林恭二,1957-11-9,
小林信彦,1932-12-12,
小林多喜二,1903-10-13,1933-2-20
小林泰三,1962-8-7,
小檜山博,1937-4-15,
庄司薫,1937-4-19,
庄野潤三,1921-2-9,
松井計,1958-7-5,
松井今朝子,1953-9-28,
松井雪子,1967-1-5,
松浦寿輝,1954-3-18,
松浦理英子,1958-8-7,
松岡圭祐,1968-12-3,
松本恵子,1891-1-8,1976-11-7
松本清張,1909-12-21,1992-8-4
松本泰,1887-2-22,1939-4-19
松本侑子,1963-6-17,
松野大介,1964-2-5,
上遠野浩平,1968-12-12,
上司小剣,1874-12-15,1947-9-2
上野哲也,1954-1-10,
上林暁,1902-10-6,1980-8-28
城昌幸,1904-6-10,1976-11-27
埴谷雄高,1909-12-19,1997-2-19
織田作之助,1913-10-26,1947-1-10
新井紀一,1890-2-22,1966-3-13
新井克昌,1936-8-2,
新井素子,1960-8-8,
新井満,1946-5-7,
新宮正春,1935-1-1,2004-8-28
新津きよみ,1957-5-4,
森詠,1941-12-14,
森鴎外,1862-2-17,1922-7-9
森岡浩之,1962-3-2,
森絵都,1968-4-2,
森見登美彦,1979-1-6,
森村誠一,1933-1-2,
森敦,1912-1-22,1989-7-29
森博嗣,1957-12-7,
森茉莉,1903-1-7,1987-6-6
森瑤子,1940-11-4,1993-7-6
深見真,1977-8-5,
深沢七郎,1914-1-29,1987-8-18
深田久弥,1903-3-11,1971-3-21
深田祐介,1931-7-15,
真保裕一,1961-5-24,
神坂次郎,1927-3-2,
神西清,1903-11-15,1957-3-11
神林長平,1953-7-10,
秦恒平,1935-12-21,
仁木悦子,1928-3-7,1986-11-23
陣出達朗,1907-2-14,1986-4-19
水木楊,1937-10-30,
水野仙子,1888-12-3,1919-5-31
水野良,1963-7-13,
杉浦明平,1913-6-9,2001-3-14
杉本苑子,1925-6-26,
杉本章子,1953-5-28,
菅浩江,1963-4-21,
瀬戸内寂聴,1922-5-15,
瀬名秀明,1968-1-17,
星野智幸,1965-7-13,
正本ノン,1953-1-26,
清岡卓行,1922-6-29,2006-6-3
清水義範,1947-10-28,
清水博子,1968-6-2,
